Position,Venue Space,Map Key,Position Index,Device ID,Technology,Model,Orientation,Driven By,Content Class,DMP Present,Countable Ad Position,Winter Status,Confidence,Source,Status,Defect Flag,Notes
Ben Plaza PJ2 2,Ben Franklin Plaza,PJ2,2,048,Videri Spark,Spark 5,Landscape,Videri cloud,Menu board,Not checked,Unknown,Unknown,🟡 Paper only,"Videri sheet,Total TV List",📄 Paper only,ID gap,"Source row duplicated in the Total TV List. Counted once. IDs 043-046 sit unallocated immediately before this run; the Videri sheet independently caps Ben Plaza Videri at 8, which rules out a second bank. Indoor-rated hardware in an outdoor position."
Ben Plaza PJ2 3,Ben Franklin Plaza,PJ2,3,049,Videri Spark,Spark 5,Landscape,Videri cloud,Menu board,Not checked,Unknown,Unknown,🟡 Paper only,"Videri sheet,Total TV List",📄 Paper only,ID gap,"Source row duplicated in the Total TV List. Counted once. IDs 043-046 sit unallocated immediately before this run; the Videri sheet independently caps Ben Plaza Videri at 8, which rules out a second bank. Indoor-rated hardware in an outdoor position."
Ben Plaza PJ2 4,Ben Franklin Plaza,PJ2,4,050,Videri Spark,Spark 5,Landscape,Videri cloud,Menu board,Not checked,Unknown,Unknown,🟡 Paper only,"Videri sheet,Total TV List",📄 Paper only,ID gap,"Source row duplicated in the Total TV List. Counted once. IDs 043-046 sit unallocated immediately before this run; the Videri sheet independently caps Ben Plaza Videri at 8, which rules out a second bank. Indoor-rated hardware in an outdoor position."
Ben Plaza BEER ALLEY 1,Ben Franklin Plaza,BEER ALLEY,1,055,Videri Spark,Spark 5,Landscape,Videri cloud,Menu board,Not checked,Unknown,Unknown,🟡 Paper only,"Videri sheet,Total TV List",📄 Paper only,ID gap,Source row duplicated in the Total TV List. Counted once. IDs 051-054 sit unallocated immediately before this run. Indoor-rated hardware in an outdoor position.
Ben Plaza BEER ALLEY 2,Ben Franklin Plaza,BEER ALLEY,2,056,Videri Spark,Spark 5,Landscape,Videri cloud,Menu board,Not checked,Unknown,Unknown,🟡 Paper only,"Videri sheet,Total TV List",📄 Paper only,ID gap,Source row duplicated in the Total TV List. Counted once. IDs 051-054 sit unallocated immediately before this run. Indoor-rated hardware in an outdoor position.
Ben Plaza BEER ALLEY 3,Ben Franklin Plaza,BEER ALLEY,3,057,Videri Spark,Spark 5,Landscape,Videri cloud,Menu board,Not checked,Unknown,Unknown,🟡 Paper only,"Videri sheet,Total TV List",📄 Paper only,ID gap,Source row duplicated in the Total TV List. Counted once. IDs 051-054 sit unallocated immediately before this run. Indoor-rated hardware in an outdoor position.
Ben Plaza BEER ALLEY 4,Ben Franklin Plaza,BEER ALLEY,4,058,Videri Spark,Spark 5,Landscape,Videri cloud,Menu board,Not checked,Unknown,Unknown,🟡 Paper only,"Videri sheet,Total TV List",📄 Paper only,ID gap,Source row duplicated in the Total TV List. Counted once. IDs 051-054 sit unallocated immediately before this run. Indoor-rated hardware in an outdoor position.
Ben Plaza 794 1,Ben Franklin Plaza,794,1,,Legacy,PHIL 48,Landscape,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,Total TV List,📄 Paper only,,"Zone assigned by legacy allocation, not stated per key. Ben Plaza legacy target is 2 and 794 is in the Ben map cluster."
Ben Plaza 794 2,Ben Franklin Plaza,794,2,,Legacy,PHIL 48,Landscape,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,Total TV List,📄 Paper only,,"Zone assigned by legacy allocation, not stated per key. Ben Plaza legacy target is 2 and 794 is in the Ben map cluster."
Walt Plaza WALT CON 1,Walt Whitman Plaza,WALT CON,1,107,Samsung OH,OH55A-S,Landscape,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,"Samsung sheet,Total TV List",📄 Paper only,WALT CON count,"Qty stated 16, ID range 107-120 covers 14. Same error on the Samsung sheet and the Total TV List. Free IDs 129-132 sit between NBW and ZIGGY, so the true range may start lower than 107. Count on foot."
Walt Plaza WALT CON 2,Walt Whitman Plaza,WALT CON,2,108,Samsung OH,OH55A-S,Landscape,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,"Samsung sheet,Total TV List",📄 Paper only,WALT CON count,"Qty stated 16, ID range 107-120 covers 14. Same error on the Samsung sheet and the Total TV List. Free IDs 129-132 sit between NBW and ZIGGY, so the true range may start lower than 107. Count on foot."
Walt Plaza WALT CON 3,Walt Whitman Plaza,WALT CON,3,109,Samsung OH,OH55A-S,Landscape,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,"Samsung sheet,Total TV List",📄 Paper only,WALT CON count,"Qty stated 16, ID range 107-120 covers 14. Same error on the Samsung sheet and the Total TV List. Free IDs 129-132 sit between NBW and ZIGGY, so the true range may start lower than 107. Count on foot."
Walt Plaza WALT CON 4,Walt Whitman Plaza,WALT CON,4,110,Samsung OH,OH55A-S,Landscape,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,"Samsung sheet,Total TV List",📄 Paper only,WALT CON count,"Qty stated 16, ID range 107-120 covers 14. Same error on the Samsung sheet and the Total TV List. Free IDs 129-132 sit between NBW and ZIGGY, so the true range may start lower than 107. Count on foot."
Walt Plaza WALT CON 5,Walt Whitman Plaza,WALT CON,5,111,Samsung OH,OH55A-S,Landscape,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,"Samsung sheet,Total TV List",📄 Paper only,WALT CON count,"Qty stated 16, ID range 107-120 covers 14. Same error on the Samsung sheet and the Total TV List. Free IDs 129-132 sit between NBW and ZIGGY, so the true range may start lower than 107. Count on foot."
Walt Plaza WALT CON 6,Walt Whitman Plaza,WALT CON,6,112,Samsung OH,OH55A-S,Landscape,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,"Samsung sheet,Total TV List",📄 Paper only,WALT CON count,"Qty stated 16, ID range 107-120 covers 14. Same error on the Samsung sheet and the Total TV List. Free IDs 129-132 sit between NBW and ZIGGY, so the true range may start lower than 107. Count on foot."
Walt Plaza WALT CON 7,Walt Whitman Plaza,WALT CON,7,113,Samsung OH,OH55A-S,Landscape,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,"Samsung sheet,Total TV List",📄 Paper only,WALT CON count,"Qty stated 16, ID range 107-120 covers 14. Same error on the Samsung sheet and the Total TV List. Free IDs 129-132 sit between NBW and ZIGGY, so the true range may start lower than 107. Count on foot."
Walt Plaza WALT CON 8,Walt Whitman Plaza,WALT CON,8,114,Samsung OH,OH55A-S,Landscape,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,"Samsung sheet,Total TV List",📄 Paper only,WALT CON count,"Qty stated 16, ID range 107-120 covers 14. Same error on the Samsung sheet and the Total TV List. Free IDs 129-132 sit between NBW and ZIGGY, so the true range may start lower than 107. Count on foot."
Walt Plaza WALT CON 9,Walt Whitman Plaza,WALT CON,9,115,Samsung OH,OH55A-S,Landscape,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,"Samsung sheet,Total TV List",📄 Paper only,WALT CON count,"Qty stated 16, ID range 107-120 covers 14. Same error on the Samsung sheet and the Total TV List. Free IDs 129-132 sit between NBW and ZIGGY, so the true range may start lower than 107. Count on foot."
Walt Plaza WALT CON 10,Walt Whitman Plaza,WALT CON,10,116,Samsung OH,OH55A-S,Landscape,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,"Samsung sheet,Total TV List",📄 Paper only,WALT CON count,"Qty stated 16, ID range 107-120 covers 14. Same error on the Samsung sheet and the Total TV List. Free IDs 129-132 sit between NBW and ZIGGY, so the true range may start lower than 107. Count on foot."
Walt Plaza WALT CON 11,Walt Whitman Plaza,WALT CON,11,117,Samsung OH,OH55A-S,Landscape,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,"Samsung sheet,Total TV List",📄 Paper only,WALT CON count,"Qty stated 16, ID range 107-120 covers 14. Same error on the Samsung sheet and the Total TV List. Free IDs 129-132 sit between NBW and ZIGGY, so the true range may start lower than 107. Count on foot."
Walt Plaza WALT CON 12,Walt Whitman Plaza,WALT CON,12,118,Samsung OH,OH55A-S,Landscape,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,"Samsung sheet,Total TV List",📄 Paper only,WALT CON count,"Qty stated 16, ID range 107-120 covers 14. Same error on the Samsung sheet and the Total TV List. Free IDs 129-132 sit between NBW and ZIGGY, so the true range may start lower than 107. Count on foot."
Walt Plaza WALT CON 13,Walt Whitman Plaza,WALT CON,13,119,Samsung OH,OH55A-S,Landscape,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,"Samsung sheet,Total TV List",📄 Paper only,WALT CON count,"Qty stated 16, ID range 107-120 covers 14. Same error on the Samsung sheet and the Total TV List. Free IDs 129-132 sit between NBW and ZIGGY, so the true range may start lower than 107. Count on foot."
Walt Plaza WALT CON 14,Walt Whitman Plaza,WALT CON,14,120,Samsung OH,OH55A-S,Landscape,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,"Samsung sheet,Total TV List",📄 Paper only,WALT CON count,"Qty stated 16, ID range 107-120 covers 14. Same error on the Samsung sheet and the Total TV List. Free IDs 129-132 sit between NBW and ZIGGY, so the true range may start lower than 107. Count on foot."
Walt Plaza WALT CON 15,Walt Whitman Plaza,WALT CON,15,,Samsung OH,OH55A-S,Landscape,Unknown,Unknown,Not checked,Unknown,Unknown,🔴 Unidentified,"Samsung sheet,Total TV List",⚠️ Disputed,WALT CON count,"DISPUTED. These two rows exist only because WALT CON states qty 16 against a 14-ID range. Confirm on foot and either assign IDs or delete both rows, which drops the site total to 149."
Walt Plaza WALT CON 16,Walt Whitman Plaza,WALT CON,16,,Samsung OH,OH55A-S,Landscape,Unknown,Unknown,Not checked,Unknown,Unknown,🔴 Unidentified,"Samsung sheet,Total TV List",⚠️ Disputed,WALT CON count,"DISPUTED. These two rows exist only because WALT CON states qty 16 against a 14-ID range. Confirm on foot and either assign IDs or delete both rows, which drops the site total to 149."
Walt Plaza NBW 1,Walt Whitman Plaza,NBW,1,121,Samsung OH,OH46B,Landscape,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,"Samsung sheet,Total TV List",📄 Paper only,,
Walt Plaza NBW 2,Walt Whitman Plaza,NBW,2,122,Samsung OH,OH46B,Landscape,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,"Samsung sheet,Total TV List",📄 Paper only,,
Walt Plaza NBW 3,Walt Whitman Plaza,NBW,3,123,Samsung OH,OH46B,Landscape,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,"Samsung sheet,Total TV List",📄 Paper only,,
Walt Plaza NBW 4,Walt Whitman Plaza,NBW,4,124,Samsung OH,OH46B,Landscape,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,"Samsung sheet,Total TV List",📄 Paper only,,
Walt Plaza NBW 5,Walt Whitman Plaza,NBW,5,125,Samsung OH,OH46B,Landscape,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,"Samsung sheet,Total TV List",📄 Paper only,,
Walt Plaza NBW 6,Walt Whitman Plaza,NBW,6,126,Samsung OH,OH46B,Landscape,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,"Samsung sheet,Total TV List",📄 Paper only,,
Walt Plaza NBW 7,Walt Whitman Plaza,NBW,7,127,Samsung OH,OH46B,Landscape,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,"Samsung sheet,Total TV List",📄 Paper only,,
Walt Plaza NBW 8,Walt Whitman Plaza,NBW,8,128,Samsung OH,OH46B,Landscape,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,"Samsung sheet,Total TV List",📄 Paper only,,
Walt Plaza ZIGGY 1,Walt Whitman Plaza,ZIGGY,1,133,Samsung OH,OH46B,Portrait,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,"Samsung sheet,Total TV List",📄 Paper only,,Normalizes to Ziggy's Magic Pizza Shop. Photo-confirmed 2026-08-30: branded shipping-container pizza outlet with menu screens in the serving window. SAM 46 VERT on the Samsung sheet.
Walt Plaza ZIGGY 2,Walt Whitman Plaza,ZIGGY,2,134,Samsung OH,OH46B,Portrait,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,"Samsung sheet,Total TV List",📄 Paper only,,Normalizes to Ziggy's Magic Pizza Shop. Photo-confirmed 2026-08-30: branded shipping-container pizza outlet with menu screens in the serving window. SAM 46 VERT on the Samsung sheet.
Walt Plaza RR1 1,Walt Whitman Plaza,RR1,1,135,Samsung OH,OH46B,Portrait,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,"Samsung sheet,Total TV List",📄 Paper only,,SAM 46 VERT on the Samsung sheet.
Walt Plaza RR1 2,Walt Whitman Plaza,RR1,2,136,Samsung OH,OH46B,Portrait,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,"Samsung sheet,Total TV List",📄 Paper only,,SAM 46 VERT on the Samsung sheet.
Walt Plaza 783 1,Walt Whitman Plaza,783,1,137,Samsung OH,OH46B,Portrait,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,"Samsung sheet,Total TV List",📄 Paper only,,SAM 46 VERT on the Samsung sheet.
Walt Plaza 783 2,Walt Whitman Plaza,783,2,138,Samsung OH,OH46B,Portrait,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,"Samsung sheet,Total TV List",📄 Paper only,,SAM 46 VERT on the Samsung sheet.
Walt Plaza EA BAR LOUNGE 1,Walt Whitman Plaza,EA BAR LOUNGE,1,,Legacy,PHIL 48,Landscape,ConcertVision DMP,"Program-capable,Ads",Not checked,Unknown,Unknown,🟡 Paper only,Total TV List,📄 Paper only,,ConcertVision position. Endpoint of the house program path: switcher to AMX encoder to DMP to display. Zone assigned by legacy allocation.
Walt Plaza EA BAR LOUNGE 2,Walt Whitman Plaza,EA BAR LOUNGE,2,,Legacy,PHIL 48,Landscape,ConcertVision DMP,"Program-capable,Ads",Not checked,Unknown,Unknown,🟡 Paper only,Total TV List,📄 Paper only,,ConcertVision position. Endpoint of the house program path: switcher to AMX encoder to DMP to display. Zone assigned by legacy allocation.
Walt Plaza 784 1,Walt Whitman Plaza,784,1,,Legacy,PHIL 48,Landscape,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,Total TV List,📄 Paper only,,Zone assigned by legacy allocation.
Walt Plaza 784 2,Walt Whitman Plaza,784,2,,Legacy,PHIL 48,Landscape,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,Total TV List,📄 Paper only,,Zone assigned by legacy allocation.
Walt Plaza FD1 1,Walt Whitman Plaza,FD1,1,,Legacy,PHIL 55,Landscape,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,Total TV List,📄 Paper only,,Zone assigned by legacy allocation. Decoded verbally as frozen drinks 1.
Walt Plaza FD1 2,Walt Whitman Plaza,FD1,2,,Legacy,PHIL 55,Landscape,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,Total TV List,📄 Paper only,,Zone assigned by legacy allocation. Decoded verbally as frozen drinks 1.
Walt Plaza WC1 1,Walt Whitman Plaza,WC1,1,,Legacy,PHIL 55,Landscape,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,Total TV List,📄 Paper only,,Zone assigned by legacy allocation. Decoded verbally as WC 1.
Walt Plaza WC1 2,Walt Whitman Plaza,WC1,2,,Legacy,PHIL 55,Landscape,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,Total TV List,📄 Paper only,,Zone assigned by legacy allocation. Decoded verbally as WC 1.
Walt Plaza WC1 3,Walt Whitman Plaza,WC1,3,,Legacy,PHIL 55,Landscape,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,Total TV List,📄 Paper only,,Zone assigned by legacy allocation. Decoded verbally as WC 1.
Walt Plaza WC1 4,Walt Whitman Plaza,WC1,4,,Legacy,PHIL 55,Landscape,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,Total TV List,📄 Paper only,,Zone assigned by legacy allocation. Decoded verbally as WC 1.
Walt Plaza UNPLACED 01,Walt Whitman Plaza,,1,,Videri Spark,,Unknown,Videri cloud,Menu board,Not checked,Unknown,Unknown,🔴 Unidentified,Videri sheet,🔴 Unplaced,,"Videri sheet states 4 Spark canvases in Walt Whitman Plaza. No location key, no device ID, no map cluster. Indoor-rated hardware in an outdoor position."
Walt Plaza UNPLACED 02,Walt Whitman Plaza,,2,,Videri Spark,,Unknown,Videri cloud,Menu board,Not checked,Unknown,Unknown,🔴 Unidentified,Videri sheet,🔴 Unplaced,,"Videri sheet states 4 Spark canvases in Walt Whitman Plaza. No location key, no device ID, no map cluster. Indoor-rated hardware in an outdoor position."
Walt Plaza UNPLACED 03,Walt Whitman Plaza,,3,,Videri Spark,,Unknown,Videri cloud,Menu board,Not checked,Unknown,Unknown,🔴 Unidentified,Videri sheet,🔴 Unplaced,,"Videri sheet states 4 Spark canvases in Walt Whitman Plaza. No location key, no device ID, no map cluster. Indoor-rated hardware in an outdoor position."
